id,MESSAGE_TYPE,transcript,creationDate,DIALOGUE_ID,PERSONA_ID,USER_ID,TASK_ID,application,creationDate_conversation,targetLang,tutorLang,hasTasks,CREATOR_ID,SCENARIO_ID,preCreated,simulated,archivedForProcessing,username
44874,H,,,1168,NULL,1377,NULL,3,2018-10-16 09:59:27.534,1,0,1,1377,17,1,0,0,user127
24911,H,je ne sais pas,,694,NULL,1357,NULL,3,2018-09-27 12:12:30.006,1,0,1,1357,18,1,0,0,user107
62407,H,pourquoi tu es un mauvaise humeur,07-11-18 08:38,1666,NULL,1336,24,3,2018-11-07 08:28:24.108,1,0,1,1336,10,0,0,0,user086
33688,H,Qu'est-ce que passe,15-10-18 12:12,916,NULL,1292,NULL,3,2018-10-15 12:03:32.155,1,0,1,1292,3,0,0,0,user042
49456,H,,,1278,NULL,1370,NULL,3,2018-10-23 07:22:48.522,1,0,1,1370,17,1,0,0,user120
76070,H,Comment vont les filles,,1988,NULL,1418,NULL,3,2018-11-12 09:35:26.246,1,0,1,1418,17,1,0,0,user168
18766,H,tu vois mes parents?,24-09-18 09:07,562,NULL,1254,NULL,3,2018-09-24 08:26:54.032,1,0,1,1254,10,0,0,0,user004
13764,H,,,444,NULL,1352,NULL,3,2018-09-21 09:46:35.368,1,0,1,1352,3,1,0,0,user102
44195,H,,,1158,NULL,1387,NULL,3,2018-10-16 09:55:25.977,1,0,1,1387,19,1,0,0,user137
22163,H,"oui, il va.",26-09-18 09:22,645,NULL,1259,NULL,3,2018-09-26 09:19:14.670,1,0,1,1259,17,0,0,0,user009
39083,H,,,1057,NULL,1378,NULL,3,2018-10-16 09:16:12.981,1,0,1,1378,10,1,0,0,user128
61898,H,mon nom est ■■■■■,07-11-18 08:27,1657,NULL,1325,55,3,2018-11-07 08:27:00.267,1,0,1,1325,16,0,0,0,user075
33435,H,Quoi,15-10-18 12:06,903,NULL,1309,NULL,3,2018-10-15 12:02:04.390,1,0,1,1309,3,0,0,0,user059
18787,H,"C'est quoi, votre plat préféré?",24-09-18 09:08,568,NULL,1251,NULL,3,2018-09-24 08:38:29.180,1,0,1,1251,10,0,0,0,user001
63357,H,enfete j'èsperais que tu m'aidras,07-11-18 09:01,1673,NULL,1349,NULL,3,2018-11-07 08:29:29.887,1,0,1,1349,10,0,0,0,user099
52305,H,,,1364,NULL,1443,NULL,3,2018-10-24 09:08:01.946,1,0,1,1443,10,1,0,0,user193
39878,H,Pourqoui tu as de mauvaise humeur?,,1085,NULL,1375,NULL,3,2018-10-16 09:19:08.823,1,0,1,1375,10,1,0,0,user125
21511,H,aa,,628,NULL,1354,NULL,3,2018-09-25 13:44:04.519,1,0,1,1354,16,1,0,0,user104
21645,H,aaa,,630,NULL,1353,NULL,3,2018-09-25 13:45:39.696,1,0,1,1353,17,1,0,0,user103
37925,H,,,1033,NULL,1378,NULL,3,2018-10-16 07:52:15.653,1,0,1,1378,10,1,0,0,user128
55747,H,"Bonjour, je m'appelle ■■■■■■ ",05-11-18 13:02,1519,NULL,1310,55,3,2018-11-05 13:01:25.550,1,0,1,1310,16,0,0,0,user060
56771,H,Tu as vu mes parents?,05-11-18 13:23,1523,NULL,1305,39,3,2018-11-05 13:01:39.888,1,0,1,1305,10,0,0,0,user055
49197,H,,,1273,NULL,1378,NULL,3,2018-10-23 07:19:57.065,1,0,1,1378,18,1,0,0,user128
26111,H,aaaa,,713,NULL,1359,NULL,3,2018-09-27 12:22:43.396,1,0,1,1359,18,1,0,0,user109
36070,H,Pourquoi ce n'est pas la coïncidence le timing,16-10-18 07:04,984,NULL,1268,NULL,3,2018-10-16 06:48:19.349,1,0,1,1268,3,0,0,0,user018
22327,H,Il s'appelle Vincent il est le mari d'Angégelique il metre une chapeau brun,26-09-18 09:26,640,NULL,1252,NULL,3,2018-09-26 09:14:35.089,1,0,1,1252,16,0,0,0,user002
15643,H,qsdfqfsdf,,491,NULL,1351,NULL,3,2018-09-21 12:18:31.243,1,0,1,1351,10,1,0,0,user101
18123,H,ça va?,24-09-18 08:50,572,NULL,1265,NULL,3,2018-09-24 08:48:38.929,1,0,1,1265,10,0,0,0,user015
15625,H,je ne suis pas te lang,,491,NULL,1351,NULL,3,2018-09-21 12:18:31.243,1,0,1,1351,10,1,0,0,user101
69484,H,,,1820,NULL,1429,NULL,3,2018-11-08 12:29:10.494,1,0,1,1429,16,1,0,0,user179
58081,H,je suis où?,06-11-18 07:45,1569,NULL,1323,3,3,2018-11-06 07:38:14.365,1,0,1,1323,3,0,0,0,user073
31479,H,Qu'est-ce qui se passe,,868,NULL,1421,NULL,3,2018-10-15 11:07:22.483,1,0,1,1421,3,1,0,0,user171
70529,H,je suis désole que personne ne se souvienne de vous ,08-11-18 13:08,1855,NULL,1319,58,3,2018-11-08 13:05:34.129,1,0,1,1319,16,0,0,0,user069
6324,H,dsqddsqsq,,255,NULL,1351,NULL,3,2018-09-12 19:05:16.163,1,0,1,1351,3,0,0,0,user101
69651,H,Comment sava? ,,1823,NULL,1429,NULL,3,2018-11-08 12:32:01.160,1,0,1,1429,17,1,0,0,user179
69216,H,,,1814,NULL,1431,NULL,3,2018-11-08 12:25:58.103,1,0,1,1431,18,1,0,0,user181
73950,H,Georges est tres calme.,12-11-18 08:04,1924,NULL,1302,172,3,2018-11-12 07:31:12.745,1,0,1,1302,19,0,0,0,user052
22416,H,tu t'appelle vincent je ,26-09-18 09:29,657,NULL,1264,NULL,3,2018-09-26 09:21:56.463,1,0,1,1264,16,0,0,0,user014
50888,H,,,1302,NULL,1387,NULL,3,2018-10-23 07:53:22.169,1,0,1,1387,3,1,0,0,user137
24420,H,George est tres calme.,,685,NULL,1366,NULL,3,2018-09-27 12:09:46.458,1,0,1,1366,17,1,0,0,user116
48524,H,comment ça-va delphine?,,1261,NULL,1385,NULL,3,2018-10-23 07:17:59.077,1,0,1,1385,17,1,0,0,user135
63181,H,Je vais aller parler avec les limaces,07-11-18 08:56,1682,NULL,1316,50,3,2018-11-07 08:32:49.103,1,0,1,1316,10,0,0,0,user066
24935,H,qoui est louis jouer?,,694,NULL,1357,NULL,3,2018-09-27 12:12:30.006,1,0,1,1357,18,1,0,0,user107
51927,H,,,1356,NULL,1440,NULL,3,2018-10-24 08:37:31.061,1,0,1,1440,3,1,0,0,user190
64533,H,,,1714,NULL,1440,NULL,3,2018-11-07 09:25:39.079,1,0,1,1440,10,1,0,0,user190
35421,H,je vais bien,16-10-18 06:47,982,NULL,1282,NULL,3,2018-10-16 06:46:28.756,1,0,1,1282,3,0,0,0,user032
41438,H,Comment ça va?,16-10-18 09:27,1092,NULL,1284,NULL,3,2018-10-16 09:19:59.772,1,0,1,1284,10,0,0,0,user034
38958,H,,,1054,NULL,1385,NULL,3,2018-10-16 09:14:51.428,1,0,1,1385,10,1,0,0,user135
72372,H,Je m'appelle ■■■■■■,12-11-18 07:31,1927,NULL,1296,55,3,2018-11-12 07:31:25.937,1,0,1,1296,16,0,0,0,user046
13136,H,sensei est ton ami?,21-09-18 07:53,428,NULL,1252,NULL,3,2018-09-21 07:48:20.947,1,0,1,1252,10,0,0,0,user002
59674,H,qui libre,,1612,NULL,1426,NULL,3,2018-11-06 13:56:47.879,1,0,1,1426,3,1,0,0,user176
49965,H,,,1288,NULL,1387,NULL,3,2018-10-23 07:38:13.659,1,0,1,1387,19,1,0,0,user137
34236,H,Ou est baldog,15-10-18 12:23,905,NULL,1294,NULL,3,2018-10-15 12:02:16.483,1,0,1,1294,3,0,0,0,user044
59162,H,je peux retrouver mon parents,,1598,NULL,1435,NULL,3,2018-11-06 13:52:58.847,1,0,1,1435,3,1,0,0,user185
23214,H,à la jardin,26-09-18 09:45,640,NULL,1252,NULL,3,2018-09-26 09:14:35.089,1,0,1,1252,16,0,0,0,user002
46300,H,Je suis désolé que personne ne se souvienne de vous.,23-10-18 06:38,1219,NULL,1286,58,3,2018-10-23 06:35:37.202,1,0,1,1286,16,0,0,0,user036
63339,H,louis est le cousin de toi,07-11-18 09:00,1687,NULL,1330,NULL,3,2018-11-07 08:43:59.002,1,0,1,1330,16,0,0,0,user080
54946,H,,,1495,NULL,1412,NULL,3,2018-11-05 12:32:33.122,1,0,1,1412,10,1,0,0,user162
57980,H,Mon nom est ■■■■■■.,06-11-18 07:42,1563,NULL,1318,5,3,2018-11-06 07:37:40.136,1,0,1,1318,3,0,0,0,user068
18647,H,je vais au jardin,24-09-18 09:05,558,NULL,1264,NULL,3,2018-09-24 08:25:54.215,1,0,1,1264,10,0,0,0,user014
58462,H,Je vais visiter Baldog,06-11-18 07:54,1563,NULL,1318,NULL,3,2018-11-06 07:37:40.136,1,0,1,1318,3,0,0,0,user068
41834,H,vouz passez souvent de temps ensemble,16-10-18 09:32,1082,NULL,1277,NULL,3,2018-10-16 09:18:48.920,1,0,1,1277,10,0,0,0,user027
44448,H,,,1162,NULL,1381,NULL,3,2018-10-16 09:57:31.356,1,0,1,1381,20,1,0,0,user131
22964,H,yvette a des cheveux blonde,26-09-18 09:40,639,NULL,1258,NULL,3,2018-09-26 09:14:31.958,1,0,1,1258,16,0,0,0,user008
61499,H,,,1643,NULL,1449,NULL,3,2018-11-06 14:25:48.677,1,0,1,1449,10,1,0,0,user199
39232,H,,,1059,NULL,1368,NULL,3,2018-10-16 09:16:20.520,1,0,1,1368,10,1,0,0,user118
38934,H,,,1054,NULL,1385,NULL,3,2018-10-16 09:14:51.428,1,0,1,1385,10,1,0,0,user135
40271,H,,,1102,NULL,1382,NULL,3,2018-10-16 09:20:57.921,1,0,1,1382,10,1,0,0,user132
63077,H,Est-ce que vous avec vu mes parents ?,07-11-18 08:54,1663,NULL,1324,39,3,2018-11-07 08:27:49.460,1,0,1,1324,10,0,0,0,user074
71470,H,elle a les cheveau noirs,08-11-18 13:20,1845,NULL,1336,NULL,3,2018-11-08 13:04:31.426,1,0,1,1336,16,0,0,0,user086
33727,H,ok je vais aller lui parler,15-10-18 12:13,920,NULL,1302,NULL,3,2018-10-15 12:04:15.060,1,0,1,1302,3,0,0,0,user052
70675,H,z,08-11-18 13:10,1840,NULL,1327,NULL,3,2018-11-08 13:04:04.836,1,0,1,1327,18,0,0,0,user077
42766,H,Comment va Louis,,1133,NULL,1382,NULL,3,2018-10-16 09:42:37.626,1,0,1,1382,17,1,0,0,user132
12201,H,je n'etais avec ma famille,21-09-18 07:31,401,NULL,1252,NULL,3,2018-09-21 07:15:59.868,1,0,1,1252,3,0,0,0,user002
72902,H,Delphine est la grand-mère d'Angélique.,12-11-18 07:43,1929,NULL,1305,65,3,2018-11-12 07:31:37.506,1,0,1,1305,16,0,0,0,user055
33453,H,Bonjour!,15-10-18 12:07,923,NULL,1301,NULL,3,2018-10-15 12:07:04.795,1,0,1,1301,3,0,0,0,user051
57432,H,Est-ce que vous avez vu mens parents pendant la tempete ?,05-11-18 13:36,1540,NULL,1292,100,3,2018-11-05 13:25:32.839,1,0,1,1292,17,0,0,0,user042
71482,H,Voes portez un chapeau brun.,08-11-18 13:20,1867,NULL,1321,62,3,2018-11-08 13:08:36.431,1,0,1,1321,16,0,0,0,user071
70133,H,,,1832,NULL,1432,NULL,3,2018-11-08 12:35:13.595,1,0,1,1432,19,1,0,0,user182
22684,H,Ils ont dû partir après que la tempête a détruit leur maison.,26-09-18 09:34,660,NULL,1262,NULL,3,2018-09-26 09:31:03.926,1,0,1,1262,19,0,0,0,user012
20585,H,Qoui est ton travaille?,,611,NULL,1365,NULL,3,2018-09-25 13:25:23.841,1,0,1,1365,17,1,0,0,user115
24003,H,aaa,,678,NULL,1352,NULL,3,2018-09-27 12:08:38.254,1,0,1,1352,16,1,0,0,user102
24664,H,aaa,,690,NULL,1359,NULL,3,2018-09-27 12:10:58.969,1,0,1,1359,17,1,0,0,user109
40938,H,tu t'appelle VIncent.,16-10-18 09:24,1076,NULL,1269,NULL,3,2018-10-16 09:18:02.863,1,0,1,1269,16,0,0,0,user019
44972,H,lisette porte une blouse blanche ,16-10-18 09:59,1141,NULL,1277,NULL,3,2018-10-16 09:50:09.008,1,0,1,1277,16,0,0,0,user027
59808,H,je suis ■■■■,,1616,NULL,1436,NULL,3,2018-11-06 14:00:35.602,1,0,1,1436,3,1,0,0,user186
64765,H,Tu veux répéter son noms?,,1720,NULL,1431,NULL,3,2018-11-07 09:25:57.709,1,0,1,1431,16,1,0,0,user181
49188,H,,,1271,NULL,1371,NULL,3,2018-10-23 07:19:19.616,1,0,1,1371,16,1,0,0,user121
60457,H,,,1627,NULL,1433,NULL,3,2018-11-06 14:13:05.443,1,0,1,1433,10,1,0,0,user183
54282,H,Angélique porte une robe rose.,,1486,NULL,1415,NULL,3,2018-11-05 12:31:37.098,1,0,1,1415,16,1,0,0,user165
36737,H,au revoir,,1009,NULL,1385,NULL,3,2018-10-16 07:32:22.694,1,0,1,1385,3,1,0,0,user135
77380,H,,,2011,NULL,1409,NULL,3,2018-11-12 10:07:40.581,1,0,1,1409,17,1,0,0,user159
36731,H,ou est Baldog?,,1009,NULL,1385,NULL,3,2018-10-16 07:32:22.694,1,0,1,1385,3,1,0,0,user135
32512,H,,,883,NULL,1411,NULL,3,2018-10-15 11:34:17.604,1,0,1,1411,10,1,0,0,user161
52320,H,,,1365,NULL,1443,NULL,3,2018-10-24 09:08:27.918,1,0,1,1443,16,1,0,0,user193
16271,H,,,501,NULL,1361,NULL,3,2018-09-21 12:34:28.061,1,0,1,1361,10,1,0,0,user111
26888,H,,,725,NULL,1357,NULL,3,2018-09-27 12:32:21.447,1,0,1,1357,19,1,0,0,user107
33995,H,Pourquoi est-ce que n'a pas d'une coïnciden ,15-10-18 12:19,917,NULL,1307,NULL,3,2018-10-15 12:03:40.493,1,0,1,1307,3,0,0,0,user057
13419,H,Nous étions en route vers la ville.,21-09-18 08:01,419,NULL,1251,NULL,3,2018-09-21 07:35:50.163,1,0,1,1251,10,0,0,0,user001
77094,H,Comment est-ce que vous vous sentez?,,2006,NULL,1413,NULL,3,2018-11-12 10:05:39.634,1,0,1,1413,17,1,0,0,user163
41057,H,liselotte a des cheveux noir ,,1116,NULL,1378,NULL,3,2018-10-16 09:24:39.391,1,0,1,1378,16,1,0,0,user128
52326,H,,,1365,NULL,1443,NULL,3,2018-10-24 09:08:27.918,1,0,1,1443,16,1,0,0,user193
63982,H,,,1706,NULL,1429,NULL,3,2018-11-07 09:24:18.901,1,0,1,1429,10,1,0,0,user179
48512,H,comment ca-va?,,1261,NULL,1385,NULL,3,2018-10-23 07:17:59.077,1,0,1,1385,17,1,0,0,user135
71982,H,"Les grands-parents s'appellent Delphine et Georges. le petit neveu, c'est Louis",08-11-18 13:31,1872,NULL,1327,151,3,2018-11-08 13:23:30.256,1,0,1,1327,19,0,0,0,user077
56387,H,j'ai aussi ete pris dans la tempete,05-11-18 13:15,1508,NULL,1309,81,3,2018-11-05 13:00:13.602,1,0,1,1309,16,0,0,0,user059
19930,H,,,599,NULL,1360,NULL,3,2018-09-25 13:07:50.857,1,0,1,1360,10,1,0,0,user110
34114,H,je pense qu tu es Baldog parce qu vous êtes een ours brun,15-10-18 12:21,929,NULL,1300,NULL,3,2018-10-15 12:15:48.141,1,0,1,1300,10,0,0,0,user050
30711,H,Oui,,848,NULL,1416,NULL,3,2018-10-15 11:03:53.572,1,0,1,1416,3,1,0,0,user166
15491,H,Je me cherche mon parents,,489,NULL,1362,NULL,3,2018-09-21 12:10:27.530,1,0,1,1362,10,1,0,0,user112
62934,H,j'ai aussi été pris dans la tempête,07-11-18 08:51,1681,NULL,1313,81,3,2018-11-07 08:32:46.768,1,0,1,1313,16,0,0,0,user063
19430,H,Lisette est ton fille.,,591,NULL,1358,NULL,3,2018-09-25 13:07:12.837,1,0,1,1358,16,1,0,0,user108
52600,H,Bonjour.,26-10-18 07:00,1380,NULL,1482,1,3,2018-10-26 07:00:34.435,1,0,1,1482,3,0,0,0,user232
33578,H,tu fais quoi,15-10-18 12:10,913,NULL,1299,NULL,3,2018-10-15 12:02:57.069,1,0,1,1299,3,0,0,0,user049
65950,H,est ce que tu es Baldog ?,,1738,NULL,1436,NULL,3,2018-11-07 09:34:32.944,1,0,1,1436,10,1,0,0,user186
52853,H,Vous passez souvent du temps ensemble?,26-10-18 07:08,1372,NULL,1477,28,3,2018-10-26 06:53:02.101,1,0,1,1477,10,0,0,0,user227
23229,H,dans le jardin,26-09-18 09:46,640,NULL,1252,NULL,3,2018-09-26 09:14:35.089,1,0,1,1252,16,0,0,0,user002
50906,H,,,1302,NULL,1387,NULL,3,2018-10-23 07:53:22.169,1,0,1,1387,3,1,0,0,user137
38547,H,,,1042,NULL,1368,NULL,3,2018-10-16 08:00:20.769,1,0,1,1368,17,1,0,0,user118
67909,H,comment va Georges?,,1792,NULL,1438,NULL,3,2018-11-08 12:02:43.365,1,0,1,1438,17,1,0,0,user188
11802,H,oui,21-09-18 07:20,407,NULL,1261,NULL,3,2018-09-21 07:18:23.136,1,0,1,1261,3,0,0,0,user011
60695,H,,,1631,NULL,1442,NULL,3,2018-11-06 14:14:04.500,1,0,1,1442,10,1,0,0,user192
56768,H,quoi est ta travaille ?,05-11-18 13:23,1525,NULL,1301,NULL,3,2018-11-05 13:01:50.283,1,0,1,1301,10,0,0,0,user051
72253,H,Quel âge est-ce que tu as?,09-11-18 09:06,1886,NULL,1630,NULL,3,2018-11-09 09:06:01.892,1,0,1,1630,3,0,0,0,user300
58215,H,bonjour,06-11-18 07:48,1580,NULL,1325,1,3,2018-11-06 07:48:35.133,1,0,1,1325,3,0,0,0,user075
57575,H,Yvette porte des boucles d'oreille,05-11-18 13:38,1529,NULL,1294,76,3,2018-11-05 13:02:07.476,1,0,1,1294,16,0,0,0,user044
73149,H,Louis est votre neveu.,12-11-18 07:48,1910,NULL,1303,78,3,2018-11-12 07:30:02.595,1,0,1,1303,16,0,0,0,user053
73432,H,Merci Vincent.,12-11-18 07:53,1910,NULL,1303,84,3,2018-11-12 07:30:02.595,1,0,1,1303,16,0,0,0,user053
12365,H,Merci SENsei ,21-09-18 07:35,404,NULL,1251,NULL,3,2018-09-21 07:17:46.334,1,0,1,1251,3,0,0,0,user001
46937,H,Est-ce que Claudette a vraiment vu un dragon?,23-10-18 06:49,1226,NULL,1281,111,3,2018-10-23 06:43:55.708,1,0,1,1281,17,0,0,0,user031
18007,H,pourquoi est-ce sue tu médites?,24-09-18 08:48,565,NULL,1260,NULL,3,2018-09-24 08:29:10.753,1,0,1,1260,10,0,0,0,user010
55985,H,"Sensei, c'est votre ami",05-11-18 13:07,1516,NULL,1308,NULL,3,2018-11-05 13:01:06.318,1,0,1,1308,10,0,0,0,user058
24652,H,comment ça va avec delphine,,690,NULL,1359,NULL,3,2018-09-27 12:10:58.969,1,0,1,1359,17,1,0,0,user109
36573,H,,,1005,NULL,1373,NULL,3,2018-10-16 07:23:41.261,1,0,1,1373,3,1,0,0,user123
73566,H,comment est-ce que vous vous sentez?,12-11-18 07:57,1940,NULL,1306,88,3,2018-11-12 07:55:01.133,1,0,1,1306,17,0,0,0,user056
31235,H,Je suis allé avec ma famille.,,862,NULL,1412,NULL,3,2018-10-15 11:05:25.490,1,0,1,1412,3,1,0,0,user162
42367,H,"en fait , j'ai besoin d'aide",16-10-18 09:37,1075,NULL,1271,NULL,3,2018-10-16 09:18:01.786,1,0,1,1271,10,0,0,0,user021
70550,H,e,08-11-18 13:09,1851,NULL,1328,NULL,3,2018-11-08 13:05:12.562,1,0,1,1328,17,0,0,0,user078
13371,H,fd,21-09-18 08:00,421,NULL,1261,NULL,3,2018-09-21 07:37:47.554,1,0,1,1261,10,0,0,0,user011
44177,H,,,1158,NULL,1387,NULL,3,2018-10-16 09:55:25.977,1,0,1,1387,19,1,0,0,user137
17349,H,qui tu as,24-09-18 08:32,566,NULL,1265,NULL,3,2018-09-24 08:32:04.492,1,0,1,1265,3,0,0,0,user015
68594,H,Vous etes le mari  d' Angélique.,,1804,NULL,1441,NULL,3,2018-11-08 12:06:29.133,1,0,1,1441,16,1,0,0,user191
76052,H,Bonjour Angélique.,,1988,NULL,1418,NULL,3,2018-11-12 09:35:26.246,1,0,1,1418,17,1,0,0,user168
50599,H,,,1296,NULL,1386,NULL,3,2018-10-23 07:46:47.141,1,0,1,1386,19,1,0,0,user136
58635,H,décevoir Sensei? pourqoi?,06-11-18 07:58,1583,NULL,1330,25,3,2018-11-06 07:54:08.754,1,0,1,1330,10,0,0,0,user080
46050,H,bonjour,23-10-18 06:32,1215,NULL,1275,85,3,2018-10-23 06:31:49.870,1,0,1,1275,17,0,0,0,user025
11936,H,tu es où,21-09-18 07:23,410,NULL,1260,NULL,3,2018-09-21 07:21:53.576,1,0,1,1260,3,0,0,0,user010
25718,H,aaa,,706,NULL,1352,NULL,3,2018-09-27 12:18:02.686,1,0,1,1352,20,1,0,0,user102
75933,H,,,1984,NULL,1408,NULL,3,2018-11-12 09:24:37.464,1,0,1,1408,10,1,0,0,user158
34879,H,JE M'APPELLE ■■■■■!!!!!!,15-10-18 12:35,948,NULL,1302,NULL,3,2018-10-15 12:34:57.453,1,0,1,1302,16,0,0,0,user052
30830,H,où sont mon parents?,,851,NULL,1420,NULL,3,2018-10-15 11:04:14.268,1,0,1,1420,3,1,0,0,user170
37776,H,,,1030,NULL,1368,NULL,3,2018-10-16 07:50:47.983,1,0,1,1368,10,1,0,0,user118
47884,H,vas-tu vu des hiboux pendant le tempête?,23-10-18 07:07,1234,NULL,1282,NULL,3,2018-10-23 06:55:03.030,1,0,1,1282,17,0,0,0,user032
74102,H,quelles tâches ferez georges et delphine ?,12-11-18 08:07,1931,NULL,1295,135,3,2018-11-12 07:31:50.580,1,0,1,1295,18,0,0,0,user045
33459,H,quelle est le probleme?,15-10-18 12:07,902,NULL,1306,NULL,3,2018-10-15 12:02:03.469,1,0,1,1306,3,0,0,0,user056
64399,H,Qu'est ce que s'est,,1713,NULL,1424,NULL,3,2018-11-07 09:25:25.992,1,0,1,1424,3,1,0,0,user174
41587,H,,,1121,NULL,1383,NULL,3,2018-10-16 09:30:35.371,1,0,1,1383,10,1,0,0,user133
75144,H,,,1972,NULL,1413,NULL,3,2018-11-12 09:23:52.347,1,0,1,1413,10,1,0,0,user163
30964,H,htrzhj,,855,NULL,1379,NULL,3,2018-10-15 11:05:01.357,1,0,1,1379,3,1,0,0,user129
12493,H,Je n'etais pas seul! J'étais avec mes parents.,21-09-18 07:38,414,NULL,1264,NULL,3,2018-09-21 07:26:31.868,1,0,1,1264,3,0,0,0,user014
36350,H,aurevelkvgeqrfhjbdaskjghdbfasvfbdqesjfghdqs,,999,NULL,1378,NULL,3,2018-10-16 07:20:43.239,1,0,1,1378,3,1,0,0,user128
58611,H,quoi de neufe,06-11-18 07:58,1587,NULL,1327,NULL,3,2018-11-06 07:55:04.764,1,0,1,1327,10,0,0,0,user077
41569,H,Vous passez souvent avec Sensei ensemble?,,1121,NULL,1383,NULL,3,2018-10-16 09:30:35.371,1,0,1,1383,10,1,0,0,user133
